content,label,tokens
海水和苦咸水淡化有哪些主要方法,1.0,"['海水', '和', '苦咸水', '淡化', '有', '哪些', '主要', '方法']"
什么是海水淡化蒸馏法,1.0,"['什么', '是', '海水', '淡化', '蒸馏', '法']"
什么是太阳能海水淡化技术,1.0,"['什么', '是', '太阳能', '海水', '淡化', '技术']"
何谓海水淡化多效蒸发蒸馏法,1.0,"['何谓', '海水', '淡化', '多效', '蒸发', '蒸馏', '法']"
海水淡化多效蒸馏法有些什么技术改进,1.0,"['海水', '淡化', '多效', '蒸馏', '法', '有些', '什么', '技术', '改进']"
什么是多级闪蒸法海水淡化技术,1.0,"['什么', '是', '多级', '闪蒸', '法', '海水', '淡化', '技术']"
什么是海水淡化压汽蒸馏法,1.0,"['什么', '是', '海水', '淡化', '压汽', '蒸馏', '法']"
什么是膜蒸馏,1.0,"['什么', '是', '膜', '蒸馏']"
什么是核能海水淡化技术,1.0,"['什么', '是', '核能', '海水', '淡化', '技术']"
什么是膜蒸馏,1.0,"['什么', '是', '膜', '蒸馏']"
什么是核能海水淡化技术,1.0,"['什么', '是', '核能', '海水', '淡化', '技术']"
各种海水淡化方法的投资费用和运行费用相比究意怎样,1.0,"['各种', '海水', '淡化', '方法', '的', '投资', '费用', '和', '运行', '费用', '相比', '究意', '怎样']"
海水反渗透淡化可引水和预处理有何要求,1.0,"['海水', '反渗透', '淡化', '可', '引水', '和', '预处理', '有何', '要求']"
沙特阿拉伯的海水反渗透工厂的工艺流程怎样,1.0,"['沙特阿拉伯', '的', '海水', '反渗透', '工厂', '的', '工艺流程', '怎样']"
我国西部地区典型的水质情况怎样,1.0,"['我国', '西部', '地区', '典型', '的', '水质', '情况', '怎样']"
用电渗析法进行苦咸水淡化存在哪些问题,1.0,"['用', '电渗析', '法', '进行', '苦咸水', '淡化', '存在', '哪些', '问题']"
嵊泗镇的海水淡化装置的工艺流程怎样,1.0,"['嵊泗', '镇', '的', '海水', '淡化', '装置', '的', '工艺流程', '怎样']"
长岛苦咸水淡化站的工艺流程是怎样的,1.0,"['长岛', '苦咸水', '淡化', '站', '的', '工艺流程', '是', '怎样', '的']"
为什么要严格控制锅炉给水水质,1.0,"['为什么', '要', '严格控制', '锅炉', '给水', '水质']"
什么叫锅炉补给水给水凝结水蔬水工艺冷凝水炉水,1.0,"['什么', '叫', '锅炉', '补给', '水', '给水', '凝结水', '蔬水', '工艺', '冷凝水', '炉水']"
什么是低压中压高压和超高压锅炉对水质要求及控制方法上有何区别,1.0,"['什么', '是', '低压', '中', '压', '高压', '和', '超高压', '锅炉', '对', '水质', '要求', '及', '控制', '方法', '上', '有何', '区别']"
什么是汽包锅炉直流锅炉超临界锅炉和废热锅炉,1.0,"['什么', '是', '汽包', '锅炉', '直流', '锅炉', '超临界', '锅炉', '和', '废热', '锅炉']"
锅炉给水与炉水有哪些控制项目,1.0,"['锅炉', '给水', '与', '炉', '水有', '哪些', '控制', '项目']"
为什么水未经除盐处理不能用做锅炉给水,1.0,"['为什么', '水', '未经', '除盐', '处理', '不能', '用做', '锅炉', '给水']"
什么是水垢和水渣,1.0,"['什么', '是', '水垢', '和', '水渣']"
常见的锅炉水垢有哪些,1.0,"['常见', '的', '锅炉', '水垢', '有', '哪些']"
锅炉水渣的组成是怎样的,1.0,"['锅炉', '水渣', '的', '组成', '是', '怎样', '的']"
为什么要监督锅炉给水的硬度,1.0,"['为什么', '要', '监督', '锅炉', '给水', '的', '硬度']"
锅炉水的硬度为什么有时不合格如何处理,1.0,"['锅炉', '水', '的', '硬度', '为什么', '有时', '不', '合格', '如何', '处理']"
锅炉水质浑浊的原因是什么如何处理,1.0,"['锅炉', '水质', '浑浊', '的', '原因', '是', '什么', '如何', '处理']"
给水水质不合格是什么原因应如何处理,1.0,"['给水', '水质', '不', '合格', '是', '什么', '原因', '应', '如何', '处理']"
锅炉给水中带油有什么危害性,1.0,"['锅炉', '给', '水中', '带油', '有', '什么', '危害性']"
锅炉给水中含有铜和铁时有什么危害,1.0,"['锅炉', '给', '水中', '含有', '铜', '和', '铁时', '有', '什么', '危害']"
中高压锅炉常用哪些炉内水处理剂其作用如何,1.0,"['中', '高压', '锅炉', '常用', '哪些', '炉内水', '处理剂', '其', '作用', '如何']"
低压锅炉常用哪些炉内水处理剂其作用如何,1.0,"['低压', '锅炉', '常用', '哪些', '炉内水', '处理剂', '其', '作用', '如何']"
为什么要监督炉水中的含盐量或含钠量含硅量,1.0,"['为什么', '要', '监督', '炉', '水中', '的', '含盐量', '或', '含', '钠量', '含', '硅量']"
锅炉给水和炉水的值应控制在什么范围最好,1.0,"['锅炉', '给水', '和', '炉水', '的', '值应', '控制', '在', '什么', '范围', '最好']"
如何调节锅炉给水中的值,1.0,"['如何', '调节', '锅炉', '给', '水中', '的', '值']"
锅炉水中的碱度过高有什么危害,1.0,"['锅炉', '水中', '的', '碱', '度过', '高有', '什么', '危害']"
炉水中的有机物质有何危害,1.0,"['炉', '水中', '的', '有机', '物质', '有何', '危害']"
锅炉给水为什么需进行除氧处理,1.0,"['锅炉', '给水', '为什么', '需', '进行', '除氧', '处理']"
为什么锅炉给水中要加联氨,1.0,"['为什么', '锅炉', '给', '水中', '要', '加联', '氨']"
炉内水处理为什么要加亚硫酸钠要注意什么,1.0,"['炉内水', '处理', '为什么', '要加', '亚硫酸钠', '要', '注意', '什么']"
为什么除氧器内水的含氧量有时会升高,1.0,"['为什么', '除氧器', '内水', '的', '含氧量', '有时', '会', '升高']"
什么是锅炉水的磷酸盐处理,1.0,"['什么', '是', '锅炉', '水', '的', '磷酸盐', '处理']"
什么是协调磷酸盐处理,1.0,"['什么', '是', '协调', '磷酸盐', '处理']"
为什么会出现炉水盐类暂时消失的异常现象,1.0,"['为什么', '会', '出现', '炉水', '盐类', '暂时', '消失', '的', '异常现象']"
锅炉水的磷酸根有时为什么会不合格如何处理,1.0,"['锅炉', '水', '的', '磷酸', '根', '有时', '为什么', '会', '不', '合格', '如何', '处理']"
为什么要对蒸汽品质进行监督,1.0,"['为什么', '要', '对', '蒸汽', '品质', '进行', '监督']"
为什么要监督蒸汽中的含钠量,1.0,"['为什么', '要', '监督', '蒸汽', '中', '的', '含', '钠量']"
硅酸化合物有何危害,1.0,"['硅酸', '化合物', '有何', '危害']"
为什么要进行炉水排污怎样确定排污量,1.0,"['为什么', '要', '进行', '炉水', '排污', '怎样', '确定', '排污', '量']"
为什么蒸汽中的含钠量或含硅量有时会不合格如何处理,1.0,"['为什么', '蒸汽', '中', '的', '含', '钠量', '或', '含', '硅量', '有时', '会', '不', '合格', '如何', '处理']"
为什么凝结水会受到污染,1.0,"['为什么', '凝结水', '会', '受到', '污染']"
凝结水除盐处理有些什么特点,1.0,"['凝结水', '除盐', '处理', '有些', '什么', '特点']"
凝结水的溶解氧超指标应如何处理,1.0,"['凝结水', '的', '溶解氧', '超', '指标', '应', '如何', '处理']"
凝结水中所带氨影响混床出水电导率测定时应如何处理,1.0,"['凝结', '水中', '所带', '氨', '影响', '混床', '出水', '电导率', '测定', '时应', '如何', '处理']"
什么是覆盖过滤器其作用如何,1.0,"['什么', '是', '覆盖', '过滤器', '其', '作用', '如何']"
对覆盖过滤器的滤料有什么要求,1.0,"['对', '覆盖', '过滤器', '的', '滤料', '有', '什么', '要求']"
何谓磁力过滤器,1.0,"['何谓', '磁力', '过滤器']"
什么是粉末树脂覆盖过滤器,1.0,"['什么', '是', '粉末', '树脂', '覆盖', '过滤器']"
为什么要进行锅炉的化学清洗,1.0,"['为什么', '要', '进行', '锅炉', '的', '化学', '清洗']"
锅炉化学清洗的步骤和方式如何,1.0,"['锅炉', '化学', '清洗', '的', '步骤', '和', '方式', '如何']"
新建锅炉的化学清洗范围有哪些,1.0,"['新建', '锅炉', '的', '化学', '清洗', '范围', '有', '哪些']"
运行锅炉的化学清洗是如何确定的,1.0,"['运行', '锅炉', '的', '化学', '清洗', '是', '如何', '确定', '的']"
为什么酸洗能够除锈除垢,1.0,"['为什么', '酸洗', '能够', '除锈', '除垢']"
锅炉酸洗的条件是如何确定的,1.0,"['锅炉', '酸洗', '的', '条件', '是', '如何', '确定', '的']"
锅炉化学清洗酸洗的介质应如何选择,1.0,"['锅炉', '化学', '清洗', '酸洗', '的', '介质', '应', '如何', '选择']"
常用的锅炉酸洗缓蚀剂有哪些性能如何,1.0,"['常用', '的', '锅炉', '酸洗', '缓蚀剂', '有', '哪些', '性能', '如何']"
什么是钝化有哪些常用的钝化方法控制条件如何,1.0,"['什么', '是', '钝化', '有', '哪些', '常用', '的', '钝化', '方法', '控制', '条件', '如何']"
什么是碱洗或碱煮方法如何,1.0,"['什么', '是', '碱洗', '或碱', '煮', '方法', '如何']"
如何进行锅炉化学清洗,1.0,"['如何', '进行', '锅炉', '化学', '清洗']"
锅炉化学清洗有些什么质量要求,1.0,"['锅炉', '化学', '清洗', '有些', '什么', '质量', '要求']"
锅炉化学清洗的药剂用量是如何估算的,1.0,"['锅炉', '化学', '清洗', '的', '药剂', '用量', '是', '如何', '估算', '的']"
什么是微滤,1.0,"['什么', '是', '微滤']"
微滤又称为微孔过滤它属于精密过滤其基本原,0.0,"['微滤', '又', '称为', '微孔', '过滤', '它', '属于', '精密', '过滤', '其', '基本', '原']"
在死端过滤时溶剂和小于膜孔的溶质在压力驱,0.0,"['在', '死', '端', '过滤', '时', '溶剂', '和', '小于', '膜', '孔', '的', '溶质', '在', '压力', '驱']"
目前市场上微孔滤膜的材质可分为有机和无机,0.0,"['目前', '市场', '上', '微孔', '滤膜', '的', '材质', '可', '分为', '有机', '和', '无机']"
微滤膜广泛应用于制药行业的除菌过滤和电子,0.0,"['微', '滤膜', '广泛应用', '于', '制药', '行业', '的', '除菌', '过滤', '和', '电子']"
膜分离技术在水处理方面的应用情况如何,1.0,"['膜分离', '技术', '在', '水', '处理', '方面', '的', '应用', '情况', '如何']"
反渗透最早应用的反渗透膜醋酸纤维素和芳香,0.0,"['反渗透', '最早', '应用', '的', '反渗透膜', '醋酸纤维', '素', '和', '芳香']"
技术于世纪年代初在我国得到应用首先用于电,0.0,"['技术', '于', '世纪', '年代', '初', '在', '我国', '得到', '应用', '首先', '用于', '电']"
在旅馆办公楼住宅楼已被采用在新建的户以上,0.0,"['在', '旅馆', '办公楼', '住宅楼', '已', '被', '采用', '在', '新建', '的', '户', '以上']"
纳滤纳滤膜的传递性能介于与之间是在反渗透,0.0,"['纳滤纳', '滤膜', '的', '传递', '性能', '介于', '与', '之间', '是', '在', '反渗透']"
对废水排放来说反渗透纳滤等膜技术是极佳的,0.0,"['对', '废水', '排放', '来说', '反渗透', '纳滤', '等', '膜技术', '是', '极佳', '的']"
反渗透装置是超纯水和纯净水生产中的主要设,0.0,"['反渗透', '装置', '是', '超纯水', '和', '纯净水', '生产', '中', '的', '主要', '设']"
这是技术应用规模最大技术也相对比较成熟的,0.0,"['这是', '技术', '应用', '规模', '最大', '技术', '也', '相对', '比较', '成熟', '的']"
处于实验室规模年销售额亿美元估计年增长率,0.0,"['处于', '实验室', '规模', '年销售额', '亿美元', '估计', '年增长率']"
膜技术如何应用于超纯水制备,1.0,"['膜技术', '如何', '应用', '于', '超纯水', '制备']"
电解质含量水的纯度为超纯水的制备一般包括,0.0,"['电解质', '含量', '水', '的', '纯度', '为', '超纯水', '的', '制备', '一般', '包括']"
膜技术如何在高压锅炉补给水处理上应用,1.0,"['膜技术', '如何', '在', '高压', '锅炉', '补给', '水', '处理', '上', '应用']"
膜技术特别是反渗透技术在制备高压锅炉补给,0.0,"['膜技术', '特别', '是', '反渗透', '技术', '在', '制备', '高压', '锅炉', '补给']"
纯净水的生产是怎样利用膜技术的,1.0,"['纯净水', '的', '生产', '是', '怎样', '利用', '膜技术', '的']"
根据现行国家纯净水标准以我国多数城市自来,0.0,"['根据', '现行', '国家', '纯净水', '标准', '以', '我国', '多数', '城市', '自来']"
矿泉水的生产是如何使用膜技术的,1.0,"['矿泉水', '的', '生产', '是', '如何', '使用', '膜技术', '的']"
应用膜技术生产矿泉水主要有两种方法一是微,0.0,"['应用', '膜技术', '生产', '矿泉水', '主要', '有', '两种', '方法', '一是', '微']"
在矿泉水制造中膜过滤技术和细菌指标的控制,0.0,"['在', '矿泉水', '制造', '中', '膜过滤', '技术', '和', '细菌', '指标', '的', '控制']"
何谓海水苦咸水淡化,1.0,"['何谓', '海水', '苦咸水', '淡化']"
苦咸水的含盐量高于并在以下海水的含盐量在,0.0,"['苦咸水', '的', '含盐量', '高于', '并', '在', '以下', '海水', '的', '含盐量', '在']"
苦咸水问题在我国西部地区比较突出那里年降,0.0,"['苦咸水', '问题', '在', '我国', '西部', '地区', '比较突出', '那里', '年降']"
海水和苦咸水淡化有哪些主要方法,1.0,"['海水', '和', '苦咸水', '淡化', '有', '哪些', '主要', '方法']"
海水苦咸水淡化的方法主要有电渗析法反渗透,0.0,"['海水', '苦咸水', '淡化', '的', '方法', '主要', '有', '电渗析', '法', '反渗透']"
什么是海水淡化蒸馏法,1.0,"['什么', '是', '海水', '淡化', '蒸馏', '法']"
海水苦咸水淡化蒸馏法是把海水苦咸水加热使,0.0,"['海水', '苦咸水', '淡化', '蒸馏', '法是', '把', '海水', '苦咸水', '加热', '使']"
什么是太阳能海水淡化技术,1.0,"['什么', '是', '太阳能', '海水', '淡化', '技术']"
利用太阳能产生的热能直接或间接以驱动海水,0.0,"['利用', '太阳能', '产生', '的', '热能', '直接', '或', '间接', '以', '驱动', '海水']"
由于海水淡化要消耗大量的燃料或电力从我国,0.0,"['由于', '海水', '淡化', '要', '消耗', '大量', '的', '燃料', '或', '电力', '从', '我国']"
当前太阳能海水淡化中以蒸馏法为主有三种方,0.0,"['当前', '太阳能', '海水', '淡化', '中以', '蒸馏', '法', '为主', '有', '三种', '方']"
目前太阳能蒸馏法海水淡化产水率低同时还存,0.0,"['目前', '太阳能', '蒸馏', '法', '海水', '淡化', '产水率', '低', '同时', '还存']"
何谓海水淡化多效蒸发蒸馏法,1.0,"['何谓', '海水', '淡化', '多效', '蒸发', '蒸馏', '法']"
蒸馏法最简单的是只有一个蒸发器该种流程因,0.0,"['蒸馏', '法', '最', '简单', '的', '是', '只有', '一个', '蒸发器', '该种', '流程', '因']"
多效蒸发海水淡化法虽使用较早但目前结垢和,0.0,"['多效', '蒸发', '海水', '淡化', '法', '虽', '使用', '较', '早', '但', '目前', '结垢', '和']"
海水淡化多效蒸馏法有些什么技术改进,1.0,"['海水', '淡化', '多效', '蒸馏', '法', '有些', '什么', '技术', '改进']"
由于多效蒸馏技术的海水淡化法易产生蒸发器,0.0,"['由于', '多效', '蒸馏', '技术', '的', '海水', '淡化', '法易', '产生', '蒸发器']"
什么是多级闪蒸法海水淡化技术,1.0,"['什么', '是', '多级', '闪蒸', '法', '海水', '淡化', '技术']"
多级闪蒸法海水淡化技术是将经加热的海水通,0.0,"['多级', '闪蒸', '法', '海水', '淡化', '技术', '是', '将', '经', '加热', '的', '海水', '通']"
多级闪蒸的级间温差由于级间温差而相应地产,0.0,"['多级', '闪蒸', '的', '级', '间', '温差', '由于', '级间', '温差', '而', '相应', '地产']"
多级闪蒸法的特点是加热与蒸发过程分离结垢,0.0,"['多级', '闪蒸', '法', '的', '特点', '是', '加热', '与', '蒸发', '过程', '分离', '结垢']"
什么是海水淡化压汽蒸馏法,1.0,"['什么', '是', '海水', '淡化', '压汽', '蒸馏', '法']"
压汽蒸馏法也称蒸汽压缩蒸馏法利用压缩机的,0.0,"['压汽', '蒸馏', '法', '也', '称', '蒸汽', '压缩', '蒸馏', '法', '利用', '压缩机', '的']"
压缩蒸馏法在运行时不需要外部提供加热蒸汽,0.0,"['压缩', '蒸馏', '法在', '运行', '时', '不', '需要', '外部', '提供', '加热', '蒸汽']"
什么是膜蒸馏,1.0,"['什么', '是', '膜', '蒸馏']"
膜蒸馏是最近几年发展起来的一种新型膜分离,0.0,"['膜', '蒸馏', '是', '最近', '几年', '发展', '起来', '的', '一种', '新型', '膜分离']"
在疏水性多孔膜的一侧与高温原料水溶液相接,0.0,"['在', '疏', '水性', '多孔', '膜', '的', '一侧', '与', '高温', '原料', '水溶液', '相接']"
对于水溶液的膜蒸馏应选用那些没有亲水基团,0.0,"['对于', '水溶液', '的', '膜', '蒸馏', '应选', '用', '那些', '没有', '亲水', '基团']"
什么是核能海水淡化技术,1.0,"['什么', '是', '核能', '海水', '淡化', '技术']"
核能海水淡化技术是利用核供热堆和多效蒸馏,0.0,"['核能', '海水', '淡化', '技术', '是', '利用', '核', '供热', '堆', '和', '多效', '蒸馏']"
海水淡化厂采用竖管塔式布置高温多效蒸馏器,0.0,"['海水', '淡化', '厂', '采用', '竖管', '塔式', '布置', '高温', '多效', '蒸馏器']"
各种海水淡化方法的投资费用和运行费用相比究意怎样,1.0,"['各种', '海水', '淡化', '方法', '的', '投资', '费用', '和', '运行', '费用', '相比', '究意', '怎样']"
海水淡化方法很多沿用至现在其投资费用和运,0.0,"['海水', '淡化', '方法', '很多', '沿用', '至', '现在', '其', '投资', '费用', '和', '运']"
由上表可以看出反渗透海水淡化装置其投资费,0.0,"['由', '上表', '可以', '看出', '反渗透', '海水', '淡化', '装置', '其', '投资', '费']"
海水反渗透淡化对引水和预处理有何要求,1.0,"['海水', '反渗透', '淡化', '对', '引水', '和', '预处理', '有何', '要求']"
海水中有很多浮游生物和悬浮物直接自海表层,0.0,"['海水', '中有', '很多', '浮游生物', '和', '悬浮物', '直接', '自海', '表层']"
在低水回收率下操作使其中成垢物浓度不超过,0.0,"['在', '低水', '回收率', '下', '操作', '使', '其中', '成垢物', '浓度', '不', '超过']"
近年用微滤超滤作为除盐进水预处理的研究和,0.0,"['近年', '用', '微滤', '超滤', '作为', '除盐', '进水', '预处理', '的', '研究', '和']"
沙特阿拉伯的海水反渗透工厂的工艺流程怎样,1.0,"['沙特阿拉伯', '的', '海水', '反渗透', '工厂', '的', '工艺流程', '怎样']"
取自红海表面下深处的海水经拦污栅和带式移,0.0,"['取自', '红海', '表面', '下', '深处', '的', '海水', '经', '拦污栅', '和', '带式', '移']"
从出来的过滤水进入中间贮槽在泵入微保安过,0.0,"['从', '出来', '的', '过滤', '水', '进入', '中间', '贮槽', '在', '泵入', '微', '保安', '过']"
我国西部地区典型的水质情况怎样,1.0,"['我国', '西部', '地区', '典型', '的', '水质', '情况', '怎样']"
我国西部陕西甘肃宁夏青海新疆五省区幼稚病,0.0,"['我国', '西部', '陕西', '甘肃', '宁夏', '青海', '新疆', '五', '省区', '幼稚病']"
苦咸水作为饮用水不仅影响居民身体健康同时,0.0,"['苦咸水', '作为', '饮用水', '不仅', '影响', '居民', '身体健康', '同时']"
用电渗析法进行苦咸水淡化存在哪些问题,1.0,"['用', '电渗析', '法', '进行', '苦咸水', '淡化', '存在', '哪些', '问题']"
世纪年代美国英国开始将电渗析法用于苦咸水,0.0,"['世纪', '年代', '美国', '英国', '开始', '将', '电渗析', '法', '用于', '苦咸水']"
嵊泗镇的海水淡化装置的工艺流程怎样,1.0,"['嵊泗', '镇', '的', '海水', '淡化', '装置', '的', '工艺流程', '怎样']"
长岛苦咸水淡化站的工艺流程是怎样的,1.0,"['长岛', '苦咸水', '淡化', '站', '的', '工艺流程', '是', '怎样', '的']"
为什么要严格控制锅炉给水水质,1.0,"['为什么', '要', '严格控制', '锅炉', '给水', '水质']"
严格控制锅炉给水的水质有着十分重要的意义,0.0,"['严格控制', '锅炉', '给水', '的', '水质', '有着', '十分', '重要', '的', '意义']"
什么叫锅炉补给水给水凝结水疏水工艺冷凝水炉水,1.0,"['什么', '叫', '锅炉', '补给', '水', '给水', '凝结水', '疏水', '工艺', '冷凝水', '炉水']"
什么是低压中压高压和超高压锅炉对水质要求及控制方法上有何区别,1.0,"['什么', '是', '低压', '中', '压', '高压', '和', '超高压', '锅炉', '对', '水质', '要求', '及', '控制', '方法', '上', '有何', '区别']"
由于锅炉的工作压力不同对于水质要求以及控,0.0,"['由于', '锅炉', '的', '工作', '压力', '不同', '对于', '水质', '要求', '以及', '控']"
什么是汽包锅炉直流锅炉超临界锅炉和废热锅炉,1.0,"['什么', '是', '汽包', '锅炉', '直流', '锅炉', '超临界', '锅炉', '和', '废热', '锅炉']"
汽包锅炉锅炉给水经省煤器提高水温后进入汽,0.0,"['汽包', '锅炉', '锅炉', '给水', '经', '省煤器', '提高', '水温', '后', '进入', '汽']"
超临界锅炉工作压力超过的锅炉在临界压力下,0.0,"['超临界', '锅炉', '工作', '压力', '超过', '的', '锅炉', '在', '临界压力', '下']"
锅炉给水与炉水有哪些控制项目,1.0,"['锅炉', '给水', '与', '炉', '水有', '哪些', '控制', '项目']"
为什么水未经除盐处理不能用做锅炉给水,1.0,"['为什么', '水', '未经', '除盐', '处理', '不能', '用做', '锅炉', '给水']"
锅炉给水要求一定纯净的水质以确保锅炉的安,0.0,"['锅炉', '给水', '要求', '一定', '纯净', '的', '水质', '以', '确保', '锅炉', '的', '安']"
含有溶解盐类的水进入锅炉受热后水不断被蒸,0.0,"['含有', '溶解', '盐类', '的', '水', '进入', '锅炉', '受热', '后水', '不断', '被', '蒸']"
由于上述原因盐类物质在锅炉系统中极易生成,0.0,"['由于', '上述', '原因', '盐类', '物质', '在', '锅炉', '系统', '中', '极', '易生成']"
污染蒸汽盐类及杂质进入锅炉系统后由于水滴,0.0,"['污染', '蒸汽', '盐类', '及', '杂质', '进入', '锅炉', '系统', '后', '由于', '水滴']"
给水处理是根据锅炉压力等级的不同而有所不,0.0,"['给水', '处理', '是', '根据', '锅炉', '压力', '等级', '的', '不同', '而', '有所', '不']"
什么是水垢和水渣,1.0,"['什么', '是', '水垢', '和', '水渣']"
由于炉水水质的不良在经过一段时间的运行之,0.0,"['由于', '炉水', '水质', '的', '不良', '在', '经过', '一段时间', '的', '运行', '之']"
常见的锅炉水垢有哪些,1.0,"['常见', '的', '锅炉', '水垢', '有', '哪些']"
锅炉水渣的组成是怎样的,1.0,"['锅炉', '水渣', '的', '组成', '是', '怎样', '的']"
为什么要监督锅炉给水的硬度,1.0,"['为什么', '要', '监督', '锅炉', '给水', '的', '硬度']"
为了防止锅炉系统和给水系统中生成钙镁水垢,0.0,"['为了', '防止', '锅炉', '系统', '和', '给水', '系统', '中', '生成', '钙', '镁', '水垢']"
锅炉给水的硬度为什么有时不合格如何处理,1.0,"['锅炉', '给水', '的', '硬度', '为什么', '有时', '不', '合格', '如何', '处理']"
锅炉给水硬度不合格的原因主要是组成锅炉给,0.0,"['锅炉', '给水', '硬度', '不', '合格', '的', '原因', '主要', '是', '组成', '锅炉', '给']"
处理的方法是加强锅炉水及汽质的监督查明污,0.0,"['处理', '的', '方法', '是', '加强', '锅炉', '水及', '汽质', '的', '监督', '查明', '污']"
锅炉水质浑浊的原因是什么如何处理,1.0,"['锅炉', '水质', '浑浊', '的', '原因', '是', '什么', '如何', '处理']"
给水水质不合格是什么原因应如何处理,1.0,"['给水', '水质', '不', '合格', '是', '什么', '原因', '应', '如何', '处理']"
锅炉给水中带油有什么危害性,1.0,"['锅炉', '给', '水中', '带油', '有', '什么', '危害性']"
由于给水中带油会缎带锅炉系统产生严重的危,0.0,"['由于', '给', '水中', '带油会', '缎带', '锅炉', '系统', '产生', '严重', '的', '危']"
锅炉给水中含有铜和铁时有什么危害,1.0,"['锅炉', '给', '水中', '含有', '铜', '和', '铁时', '有', '什么', '危害']"
锅炉给水中含有铜和铁时会在金属受热面上形,0.0,"['锅炉', '给', '水中', '含有', '铜', '和', '铁', '时会', '在', '金属', '受热', '面上', '形']"
中高压锅炉常用哪些炉内水处理剂其作用如何,1.0,"['中', '高压', '锅炉', '常用', '哪些', '炉内水', '处理剂', '其', '作用', '如何']"
由于极化淡水室的富集在阴膜浓水一侧因此这,0.0,"['由于', '极化', '淡水', '室', '的', '富集', '在', '阴膜', '浓水', '一侧', '因此', '这']"
防止和消除极化沉淀有下列方法极限电流法要,0.0,"['防止', '和', '消除', '极化', '沉淀', '有', '下列', '方法', '极限', '电流', '法要']"
什么叫电渗析的电流密度除盐效率和电流效率,1.0,"['什么', '叫', '电渗析', '的', '电流密度', '除盐', '效率', '和', '电流效率']"
为什么电渗析器的电极会腐蚀和结垢,1.0,"['为什么', '电渗析', '器', '的', '电极', '会', '腐蚀', '和', '结垢']"
电渗析器通电之后电极表面就会产生电化学反,0.0,"['电渗析', '器', '通电', '之后', '电极', '表面', '就', '会', '产生', '电化学', '反']"
如何使用和保存电渗析器的离子交换膜,1.0,"['如何', '使用', '和', '保存', '电渗析', '器', '的', '离子交换', '膜']"
如果是新膜在使用前需要先在清水中浸泡再进,0.0,"['如果', '是', '新膜', '在', '使用', '前', '需要', '先', '在', '清水', '中', '浸泡', '再进']"
电渗析器开停车时应注意哪些事项,1.0,"['电渗析', '器开', '停车', '时应', '注意', '哪些', '事项']"
运行期间应定期测定淡浓极水的流量和压力记,0.0,"['运行', '期间', '应', '定期', '测定', '淡浓极水', '的', '流量', '和', '压力', '记']"
什么是频繁倒极电渗析,1.0,"['什么', '是', '频繁', '倒', '极', '电渗析']"
频繁倒极电渗析是具有选择透过性的离子交换,0.0,"['频繁', '倒', '极', '电渗析', '是', '具有', '选择', '透过', '性', '的', '离子交换']"
电渗析有些什么特点,1.0,"['电渗析', '有些', '什么', '特点']"
能量消耗不大电渗析运行过程中不发生相的变,0.0,"['能量消耗', '不', '大', '电渗析', '运行', '过程', '中', '不', '发生', '相', '的', '变']"
药剂耗量少环境污染小电渗析运行时不需要加,0.0,"['药剂', '耗量', '少', '环境污染', '小', '电渗析', '运行', '时', '不', '需要', '加']"
操作简便易于向自动化方向发展电渗析通常都,0.0,"['操作', '简便', '易于', '向', '自动化', '方向', '发展', '电渗析', '通常', '都']"
设备紧凑占地面积不大水鎏是通过紧固形多膜,0.0,"['设备', '紧凑', '占地面积', '不', '大水', '鎏', '是', '通过', '紧固', '形多膜']"
设备经久耐用预处理简便膜和电渗析器的隔板,0.0,"['设备', '经久耐用', '预处理', '简便', '膜', '和', '电渗析', '器', '的', '隔板']"
设备规模除盐浓度的范围适应性大从小型到大,0.0,"['设备', '规模', '除', '盐浓度', '的', '范围', '适应性', '大', '从', '小型', '到', '大']"
选用电渗析时要注意哪些问题,1.0,"['选用', '电渗析', '时要', '注意', '哪些', '问题']"
电渗析是利用电能来迁移离子进行膜分离的当,0.0,"['电渗析', '是', '利用', '电能', '来', '迁移', '离子', '进行', '膜分离', '的', '当']"
电渗析对离解度小的盐类和不离解的物质难以,0.0,"['电渗析', '对', '离解', '度', '小', '的', '盐类', '和', '不', '离解', '的', '物质', '难以']"
电渗析是使水流在电场中流过当施加到一定电,0.0,"['电渗析', '是', '使', '水流', '在', '电场', '中', '流过', '当', '施加', '到', '一定', '电']"
对进入电滲析器的水质有何要求,1.0,"['对', '进入', '电', '滲析器', '的', '水质', '有何', '要求']"
什么是电去离子净水技术,1.0,"['什么', '是', '电去离子', '净水', '技术']"
由于淡水室中离子交换剂的颗粒不断地发生交,0.0,"['由于', '淡水', '室', '中', '离子交换', '剂', '的', '颗粒', '不断', '地', '发生', '交']"
除盐工艺过程如下在外电场的作用下水中电解,0.0,"['除盐', '工艺', '过程', '如下', '在外', '电场', '的', '作用', '下', '水中', '电解']"
电渗析与混合离子交换两者错综地结合一起的,0.0,"['电渗析', '与', '混合', '离子交换', '两者', '错综', '地', '结合', '一起', '的']"
如何测定污染指数或淤泥密度指数,1.0,"['如何', '测定', '污染', '指数', '或', '淤泥', '密度', '指数']"
水样的压力为条件下通过一标准过滤器过滤器,0.0,"['水样', '的', '压力', '为', '条件', '下', '通过', '一', '标准', '过滤器', '过滤器']"
反渗透除盐原理是什么反渗透膜如何分类,1.0,"['反渗透', '除盐', '原理', '是', '什么', '反渗透膜', '如何', '分类']"
